CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
123	70891	357306	16.56	428197
124	70382	347991	16.82	418373
125	71389	345515	17.12	416904
126	67679	339767	16.61	407446
127	65778	330420	16.60	396198
128	63998	322785	16.55	386783
129	62915	316228	16.59	379143
130	61029	309964	16.45	370993
131	60804	305015	16.62	365819
132	58934	300421	16.40	359355
133	57902	291371	16.58	349273
134	56696	286712	16.51	343408
135	55487	282592	16.41	338079
136	55172	276303	16.64	331475
137	54184	273716	16.52	327900
138	52343	267044	16.39	319387
139	52112	262085	16.59	314197
140	51337	257620	16.62	308957
141	48503	251499	16.17	300002
142	47062	243771	16.18	290833
143	45880	240756	16.01	286636
144	45265	236110	16.09	281375
145	44166	232273	15.98	276439
146	43745	230276	15.96	274021
147	43266	230237	15.82	273503
148	42663	222987	16.06	265650
149	40659	216775	15.79	257434
150	39280	211946	15.64	251226

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	262947	3236893	7.51	3499840
2	131080	1220883	9.70	1351963
3	99737	1777795	5.31	1877532
4	112730	1540555	6.82	1653285
5	47058	1951650	2.35	1998708
6	30820	2449320	1.24	2480140
7	24521	1619370	1.49	1643891
8	25308	1550486	1.61	1575794
9	23305	1590279	1.44	1613584
10	28564	1551518	1.81	1580082
11	43774	1568656	2.71	1612430
12	24489	1638468	1.47	1662957
13	26119	1681018	1.53	1707137
14	20201	1657487	1.20	1677688
15	21170	1609790	1.30	1630960
16	22731	1614763	1.39	1637494
17	19658	1645100	1.18	1664758
18	20334	1690170	1.19	1710504
19	18938	1594692	1.17	1613630
20	18959	1604507	1.17	1623466
21	19201	1615197	1.17	1634398
22	18269	1644281	1.10	1662550
23	18289	1648499	1.10	1666788
24	18326	1634292	1.11	1652618
25	18037	1657929	1.08	1675966
26	17911	1632128	1.09	1650039
27	18118	1633727	1.10	1651845
28	18042	1646535	1.08	1664577
29	18106	1636078	1.09	1654184
30	17799	1633197	1.08	1650996
31	17573	1631587	1.07	1649160
32	17371	1614738	1.06	1632109
33	17966	1645955	1.08	1663921
34	17667	1644660	1.06	1662327
35	17664	1642814	1.06	1660478
36	17552	1616162	1.07	1633714
37	17824	1659270	1.06	1677094
38	17616	1620460	1.08	1638076
39	18319	1660428	1.09	1678747
40	17456	1622846	1.06	1640302
41	18026	1641301	1.09	1659327
42	17989	1629213	1.09	1647202
43	17856	1637940	1.08	1655796
44	17673	1605322	1.09	1622995
45	17787	1608605	1.09	1626392
46	17824	1599967	1.10	1617791
47	17896	1577917	1.12	1595813
48	18221	1578124	1.14	1596345
49	18315	1605534	1.13	1623849
50	18231	1576691	1.14	1594922
51	18289	1577481	1.15	1595770
52	18261	1576220	1.15	1594481
53	18493	1570636	1.16	1589129
54	18213	1536473	1.17	1554686
55	18366	1557770	1.17	1576136
56	18175	1533201	1.17	1551376
57	18892	1532069	1.22	1550961
58	18459	1517910	1.20	1536369
59	18819	1501782	1.24	1520601
60	18890	1507590	1.24	1526480
61	19186	1515192	1.25	1534378
62	18990	1482870	1.26	1501860
63	18756	1460343	1.27	1479099
64	18779	1452079	1.28	1470858
65	18811	1448659	1.28	1467470
66	19011	1433809	1.31	1452820
67	19112	1438131	1.31	1457243
68	18776	1404820	1.32	1423596
69	18971	1397884	1.34	1416855
70	18701	1398020	1.32	1416721
71	18693	1365526	1.35	1384219
72	18931	1352028	1.38	1370959
73	18517	1343945	1.36	1362462
74	18684	1319495	1.40	1338179
75	18737	1306035	1.41	1324772
76	18479	1298019	1.40	1316498
77	18497	1272322	1.43	1290819
78	18554	1252738	1.46	1271292
79	18259	1246561	1.44	1264820
80	18056	1218023	1.46	1236079
81	18377	1234105	1.47	1252482
82	17663	1191668	1.46	1209331
83	17719	1175703	1.48	1193422
84	17902	1157224	1.52	1175126
85	17745	1157621	1.51	1175366
86	17041	1129232	1.49	1146273
87	17439	1121203	1.53	1138642
88	17218	1106178	1.53	1123396
89	17115	1086508	1.55	1103623
90	17121	1081121	1.56	1098242
91	16889	1064654	1.56	1081543
92	16373	1034729	1.56	1051102
93	16683	1031243	1.59	1047926
94	16339	1026602	1.57	1042941
95	15954	979254	1.60	995208
96	15670	961284	1.60	976954
97	15793	963976	1.61	979769
98	15334	928827	1.62	944161
99	15283	919947	1.63	935230
100	15062	907671	1.63	922733
101	15082	895357	1.66	910439
102	15153	904548	1.65	919701
103	14605	863483	1.66	878088
104	14393	837225	1.69	851618
105	14038	822220	1.68	836258
106	13887	808016	1.69	821903
107	13527	793166	1.68	806693
108	13465	780869	1.70	794334
109	13383	770552	1.71	783935
110	13311	750895	1.74	764206
111	13020	745518	1.72	758538
112	12816	733363	1.72	746179
113	12667	714040	1.74	726707
114	12312	704948	1.72	717260
115	12115	686093	1.74	698208
116	12271	669917	1.80	682188
