CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
81	386	17212	2.19	17598
82	360	16526	2.13	16886
83	351	16338	2.10	16689
84	371	15745	2.30	16116
85	346	15584	2.17	15930
86	398	14936	2.60	15334
87	310	14744	2.06	15054
88	336	14395	2.28	14731
89	323	14193	2.23	14516
90	324	13887	2.28	14211
91	324	13728	2.31	14052
92	302	13279	2.22	13581
93	309	12898	2.34	13207
94	308	13271	2.27	13579
95	266	12002	2.17	12268
96	261	11659	2.19	11920
97	273	11736	2.27	12009
98	268	11463	2.28	11731
99	251	10791	2.27	11042
100	278	10655	2.54	10933
101	244	10653	2.24	10897
102	256	10727	2.33	10983
103	222	9859	2.20	10081
104	211	9592	2.15	9803
105	226	9466	2.33	9692
106	191	9098	2.06	9289
107	206	8738	2.30	8944
108	203	8536	2.32	8739
109	209	8300	2.46	8509
110	196	8218	2.33	8414
111	185	8222	2.20	8407
112	193	7972	2.36	8165
113	170	7938	2.10	8108
114	176	7587	2.27	7763
115	200	7357	2.65	7557
116	177	7143	2.42	7320
117	180	7069	2.48	7249
118	147	6674	2.16	6821
119	172	6639	2.53	6811
120	173	6560	2.57	6733
121	143	6390	2.19	6533
122	141	6114	2.25	6255
123	150	6045	2.42	6195
124	129	5893	2.14	6022
125	145	5746	2.46	5891
126	142	5553	2.49	5695
127	129	5401	2.33	5530
128	129	5400	2.33	5529
129	152	5188	2.85	5340
130	124	5061	2.39	5185
131	126	5016	2.45	5142
132	126	4937	2.49	5063
133	111	4888	2.22	4999
134	96	4506	2.09	4602
135	105	4537	2.26	4642
136	104	4366	2.33	4470
137	105	4406	2.33	4511
138	92	4070	2.21	4162
139	89	4113	2.12	4202
140	86	3978	2.12	4064
141	89	3933	2.21	4022
142	89	3834	2.27	3923
143	80	3673	2.13	3753
144	68	3492	1.91	3560
145	92	3526	2.54	3618
146	67	3460	1.90	3527
147	73	3456	2.07	3529
148	85	3265	2.54	3350
149	87	3286	2.58	3373
150	84	3240	2.53	3324

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	58731	242082	19.52	300813
2	50949	335275	13.19	386224
3	41473	302615	12.05	344088
4	37871	279388	11.94	317259
5	20431	336196	5.73	356627
6	17661	360380	4.67	378041
7	17924	405301	4.24	423225
8	17010	394787	4.13	411797
9	15830	357640	4.24	373470
10	14226	346993	3.94	361219
11	15113	330903	4.37	346016
12	13418	323227	3.99	336645
13	13356	327659	3.92	341015
14	12281	316181	3.74	328462
15	12997	306746	4.06	319743
16	12359	291958	4.06	304317
17	11534	285435	3.88	296969
18	10460	282639	3.57	293099
19	10918	279376	3.76	290294
20	10186	273518	3.59	283704
21	10131	257765	3.78	267896
22	9142	255456	3.46	264598
23	9955	252111	3.80	262066
24	8543	245893	3.36	254436
25	8981	243001	3.56	251982
26	8121	238735	3.29	246856
27	8550	232741	3.54	241291
28	7685	232934	3.19	240619
29	8136	225491	3.48	233627
30	7410	221248	3.24	228658
31	7771	216943	3.46	224714
32	6962	210754	3.20	217716
33	7158	206648	3.35	213806
